PCAP File,Domain,Query Type,Status,Latency (ms),Steps,Answers
PCAP_1_H1.pcap,2brightsparks.co.uk,A,success,500.76,3,18.161.111.12; 18.161.111.88; 18.161.111.79; 18.161.111.14
PCAP_1_H1.pcap,41latitude.com,A,failed,444.20,0,
PCAP_1_H1.pcap,7dfps.com,A,success,437.44,3,172.67.161.32; 104.21.9.172
PCAP_1_H1.pcap,advertos.ru,A,success,701.23,3,45.92.176.75
PCAP_1_H1.pcap,afairjudgement.com,A,success,432.02,3,172.67.178.132; 104.21.56.56
PCAP_1_H1.pcap,afresnohomeinspector.com,A,success,1340.21,3,67.225.203.79
PCAP_1_H1.pcap,alchemedialtd.com,A,success,410.08,3,68.66.224.29
PCAP_1_H1.pcap,alenpuaca.com,A,success,734.16,3,67.205.28.253
PCAP_1_H1.pcap,amorefieldlife.com,A,success,466.73,3,162.241.226.124
PCAP_1_H1.pcap,aqvr.com,A,success,716.30,3,89.117.19.57
PCAP_1_H1.pcap,asadventure.com,A,success,425.36,3,18.161.97.64; 18.161.97.23; 18.161.97.123; 18.161.97.129
PCAP_1_H1.pcap,astrumonline.ru,A,success,2894.14,3,217.69.136.59
PCAP_1_H1.pcap,auqzzx.com,A,failed,402.37,0,
PCAP_1_H1.pcap,australiatradenow.com,A,success,432.20,3,3.1.109.80; 52.221.93.144
PCAP_1_H1.pcap,autofirenze.biz,A,success,894.60,3,89.46.109.17
PCAP_1_H1.pcap,b-matrix.com,A,success,562.45,3,137.135.108.176
PCAP_1_H1.pcap,bikesandtransit.com,A,success,435.43,3,192.0.78.24; 192.0.78.25
PCAP_1_H1.pcap,blueridgelife.com,A,success,564.42,3,192.124.249.6
PCAP_1_H1.pcap,buynowfromusa.com,A,success,533.82,3,35.223.118.1
PCAP_1_H1.pcap,camcard.com,A,success,437.38,3,184.169.209.203; 184.169.200.40
PCAP_1_H1.pcap,caricsports.com,A,success,430.56,3,104.21.51.12; 172.67.216.98
PCAP_1_H1.pcap,cetsi.fr,A,success,494.18,3,91.151.64.24
PCAP_1_H1.pcap,chonvn.com,A,failed,401.39,0,
PCAP_1_H1.pcap,chuamatsua.com,A,failed,15206.77,0,
PCAP_1_H1.pcap,coutureauchocolat.com,A,failed,395.99,0,
PCAP_1_H1.pcap,daehepharma.com,A,failed,546.31,0,
PCAP_1_H1.pcap,datepanchang.com,A,success,580.60,3,13.75.93.156
PCAP_1_H1.pcap,diamondknot.com,A,success,5802.24,3,198.185.159.144; 198.185.159.145; 198.49.23.144; 198.49.23.145
PCAP_1_H1.pcap,ditrblog.com,A,failed,393.45,0,
PCAP_1_H1.pcap,dj-producer-j-mbargo.com,A,failed,403.17,0,
PCAP_1_H1.pcap,door2games.com,A,success,569.08,3,160.153.0.43
PCAP_1_H1.pcap,effexdjs.com,A,failed,408.18,0,
PCAP_1_H1.pcap,energybulbs.co.uk,A,success,1015.26,3,23.227.38.32
PCAP_1_H1.pcap,eugenbotnar.com,A,failed,400.74,0,
PCAP_1_H1.pcap,ex-jw.org,A,success,362.49,3,185.230.63.107; 185.230.63.186; 185.230.63.171
PCAP_1_H1.pcap,fini.net,A,success,722.93,3,198.57.192.137
PCAP_1_H1.pcap,forpsi.net,A,success,547.59,3,85.255.6.237
PCAP_1_H1.pcap,gamemob.com,A,success,573.46,3,3.33.130.190; 15.197.148.33
PCAP_1_H1.pcap,gensee.com,A,success,485.58,3,211.150.89.25
PCAP_1_H1.pcap,globalpoliticalspectrum.com,A,failed,400.23,0,
PCAP_1_H1.pcap,group14eng.com,A,success,566.69,3,192.124.249.164
PCAP_1_H1.pcap,gusbi.com,A,success,562.25,3,185.145.195.19
PCAP_1_H1.pcap,healthnews4you.com,A,success,569.83,3,3.33.130.190; 15.197.148.33
PCAP_1_H1.pcap,hemcolubricants.com,A,success,676.67,3,194.9.94.85; 194.9.94.86
PCAP_1_H1.pcap,hornil.com,A,success,561.68,3,183.111.138.226
PCAP_1_H1.pcap,house-sg.com,A,success,911.06,3,208.98.40.211
PCAP_1_H1.pcap,i-butterfly.ru,A,success,530.13,3,172.67.151.138; 104.21.88.172
PCAP_1_H1.pcap,iag-inc.com,A,success,1245.45,3,103.224.182.253
PCAP_1_H1.pcap,informarexresistere.fr,A,success,1675.35,3,178.32.143.165
PCAP_1_H1.pcap,interfloracentral.co.uk,A,success,1703.53,3,217.69.32.44
PCAP_1_H1.pcap,jantv.in,A,success,350.36,3,172.67.132.252; 104.21.5.51
PCAP_1_H1.pcap,junio.com,A,success,844.20,3,209.196.144.25
PCAP_1_H1.pcap,kathihill.com,A,success,541.63,3,159.65.187.116
PCAP_1_H1.pcap,kennethehartman.com,A,success,448.66,3,192.0.78.24; 192.0.78.25
PCAP_1_H1.pcap,kh.ua,A,success,469.84,3,195.69.185.211
PCAP_1_H1.pcap,khsm.ru,A,success,1505.23,3,91.247.37.5
PCAP_1_H1.pcap,linksplash.info,A,failed,190.31,0,
