Timestamp,Domain,Query Type,Mode,Success,Total Time (s),Steps,Cache Status,Answers,Error
2025-10-21T12:49:25.326338,2brightsparks.co.uk.,A,iterative,True,0.4998,3,MISS,18.161.111.12; 18.161.111.88; 18.161.111.79; 18.161.111.14,
2025-10-21T12:49:26.327472,41latitude.com.,A,iterative,False,0.4439,3,MISS,,No answers found
2025-10-21T12:49:27.272410,7dfps.com.,A,iterative,True,0.4372,3,MISS,172.67.161.32; 104.21.9.172,
2025-10-21T12:49:28.210070,advertos.ru.,A,iterative,True,0.7007,3,MISS,45.92.176.75,
2025-10-21T12:49:29.412359,afairjudgement.com.,A,iterative,True,0.4318,3,MISS,172.67.178.132; 104.21.56.56,
2025-10-21T12:49:30.344142,afresnohomeinspector.com.,A,iterative,True,1.3401,3,MISS,67.225.203.79,
2025-10-21T12:49:32.184668,alchemedialtd.com.,A,iterative,True,0.4099,3,MISS,68.66.224.29,
2025-10-21T12:49:33.095172,alenpuaca.com.,A,iterative,True,0.7340,3,MISS,67.205.28.253,
2025-10-21T12:49:34.329614,amorefieldlife.com.,A,iterative,True,0.4665,3,MISS,162.241.226.124,
2025-10-21T12:49:35.296757,aqvr.com.,A,iterative,True,0.7162,3,MISS,89.117.19.57,
2025-10-21T12:49:36.513429,asadventure.com.,A,iterative,True,0.4248,3,MISS,18.161.97.64; 18.161.97.23; 18.161.97.123; 18.161.97.129,
2025-10-21T12:49:37.439240,astrumonline.ru.,A,iterative,True,2.8938,3,MISS,217.69.136.59,
2025-10-21T12:49:40.833757,auqzzx.com.,A,iterative,False,0.4022,2,MISS,,No answers found
2025-10-21T12:49:41.736418,australiatradenow.com.,A,iterative,True,0.4319,3,MISS,3.1.109.80; 52.221.93.144,
2025-10-21T12:49:42.668995,autofirenze.biz.,A,iterative,True,0.8942,3,MISS,89.46.109.17,
2025-10-21T12:49:44.063644,b-matrix.com.,A,iterative,True,0.5621,3,MISS,137.135.108.176,
2025-10-21T12:49:45.126340,bikesandtransit.com.,A,iterative,True,0.4349,3,MISS,192.0.78.24; 192.0.78.25,
2025-10-21T12:49:46.062704,blueridgelife.com.,A,iterative,True,0.5642,3,MISS,192.124.249.6,
2025-10-21T12:49:47.127116,buynowfromusa.com.,A,iterative,True,0.5333,3,MISS,35.223.118.1,
2025-10-21T12:49:48.161260,camcard.com.,A,iterative,True,0.4370,3,MISS,184.169.209.203; 184.169.200.40,
2025-10-21T12:49:49.099197,caricsports.com.,A,iterative,True,0.4300,3,MISS,104.21.51.12; 172.67.216.98,
2025-10-21T12:49:50.029880,cetsi.fr.,A,iterative,True,0.4940,3,MISS,91.151.64.24,
2025-10-21T12:49:51.024927,chonvn.com.,A,iterative,False,0.4008,2,MISS,,No answers found
2025-10-21T12:49:51.927153,chuamatsua.com.,A,iterative,False,15.2067,110,MISS,,No answers found
2025-10-21T12:50:07.634656,coutureauchocolat.com.,A,iterative,False,0.3958,2,MISS,,No answers found
2025-10-21T12:50:08.531178,daehepharma.com.,A,iterative,False,0.5460,3,MISS,,No answers found
2025-10-21T12:50:09.577466,datepanchang.com.,A,iterative,True,0.5801,3,MISS,13.75.93.156,
2025-10-21T12:50:10.658963,diamondknot.com.,A,iterative,True,5.8020,3,MISS,198.185.159.144; 198.185.159.145; 198.49.23.144; 198.49.23.145,
2025-10-21T12:50:16.962319,ditrblog.com.,A,iterative,False,0.3933,2,MISS,,No answers found
2025-10-21T12:50:17.855567,dj-producer-j-mbargo.com.,A,iterative,False,0.4030,2,MISS,,No answers found
2025-10-21T12:50:18.758872,door2games.com.,A,iterative,True,0.5687,3,MISS,160.153.0.43,
2025-10-21T12:50:19.828291,effexdjs.com.,A,iterative,False,0.4076,2,MISS,,No answers found
2025-10-21T12:50:20.737441,energybulbs.co.uk.,A,iterative,True,1.0149,3,MISS,23.227.38.32,
2025-10-21T12:50:22.253048,eugenbotnar.com.,A,iterative,False,0.4003,2,MISS,,No answers found
2025-10-21T12:50:23.154277,ex-jw.org.,A,iterative,True,0.3622,3,MISS,185.230.63.107; 185.230.63.186; 185.230.63.171,
